1;Afeganistão;Cabul;Ásia
2;África do Sul;Pretória;África
3;Albânia;Tirana;Europa
4;Alemanha;Berlim;Europa
5;Andorra;Andorra-a-Velha;Europa
6;Angola;Luanda;África
7;Antiga e Barbuda;São João;América
8;Arábia Saudita;Riade;Ásia
9;Argélia;Argel;África
10;Argentina;Buenos Aires;América
11;Arménia;Erevã;Ásia
12;Austrália;Camberra;Oceania
13;Áustria;Viena;Europa
14;Azerbaijão;Bacu;Ásia
15;Bahamas;Nassau;América
16;Bangladexe;Daca;Ásia
17;Barbados;Bridgetown;América
18;Barém;Manama;Ásia
19;Bélgica;Bruxelas;Europa
20;Belize;Belmopã;América
21;Benim;Porto Novo;África
22;Bielorrússia;Minsque;Europa
23;Bolívia;Sucre;América
24;Bósnia e Herzegovina;Saraievo;Europa
25;Botsuana;Gaborone;África
26;Brasil;Brasília;América
27;Brunei;Bandar Seri Begauã;Ásia
28;Bulgária;Sófia;Europa
29;Burquina Faso;Uagadugu;África
30;Burúndi;Bujumbura;África
31;Butão;Timbu;Ásia
32;Cabo Verde;Praia;África
33;Camarões;Iaundé;África
34;Camboja;Pnom Pene;Ásia
35;Canadá;Otava;América
36;Catar;Doa;Ásia
37;Cazaquistão;Astana;Ásia
38;Chade;Jamena;África
39;Chile;Santiago;América
40;China;Pequim;Ásia
41;Chipre;Nicósia;Europa
42;Colômbia;Bogotá;América
43;Comores;Moroni;África
44;Congo-Brazzaville;Brazavile;África
45;Coreia do Norte;Pionguiangue;Ásia
46;Coreia do Sul;Seul;Ásia
47;Cosovo;Pristina;Europa
48;Costa do Marfim;Iamussucro;África
49;Costa Rica;São José;América
50;Croácia;Zagrebe;Europa
51;Cuaite;Cidade do Cuaite;Ásia
52;Cuba;Havana;América
53;Dinamarca;Copenhaga;Europa
54;Dominica;Roseau;América
55;Egito;Cairo;África
56;Emirados Árabes Unidos;Abu Dabi;Ásia
57;Equador;Quito;América
58;Eritreia;Asmara;África
59;Eslováquia;Bratislava;Europa
60;Eslovénia;Liubliana;Europa
61;Espanha;Madrid;Europa
62;Estado da Palestina;Jerusalém Oriental;Ásia
63;Estados Unidos;Washington, D.C.;América
64;Estónia;Talim;Europa
65;Etiópia;Adis Abeba;África
66;Fiji;Suva;Oceania
67;Filipinas;Manila;Ásia
68;Finlândia;Helsínquia;Europa
69;França;Paris;Europa
70;Gabão;Libreville;África
71;Gâmbia;Banjul;África
72;Gana;Acra;África
73;Geórgia;Tebilíssi;Ásia
74;Granada;São Jorge;América
75;Grécia;Atenas;Europa
76;Guatemala;Cidade da Guatemala;América
77;Guiana;Georgetown;América
78;Guiné;Conacri;África
79;Guiné Equatorial;Malabo;África
80;Guiné-Bissau;Bissau;África
81;Haiti;Porto Príncipe;América
82;Honduras;Tegucigalpa;América
83;Hungria;Budapeste;Europa
84;Iémen;Saná;Ásia
85;Ilhas Marechal;Majuro;Oceania
86;Índia;Nova Déli;Ásia
87;Indonésia;Jacarta;Ásia
88;Irão;Teerão;Ásia
89;Iraque;Bagdade;Ásia
90;Irlanda;Dublim;Europa
91;Islândia;Reiquiavique;Europa
92;Israel;Jerusalém;Ásia
93;Itália;Roma;Europa
94;Jamaica;Kingston;América
95;Japão;Tóquio;Ásia
96;Jibuti;Jibuti;África
97;Jordânia;Amã;Ásia
98;Laus;Vienciana;Ásia
99;Lesoto;Maseru;África
100;Letónia;Riga;Europa
101;Líbano;Beirute;Ásia
102;Libéria;Monróvia;África
103;Líbia;Trípoli;África
104;Listenstaine;Vaduz;Europa
105;Lituânia;Vílnius;Europa
106;Luxemburgo;Luxemburgo;Europa
107;Macedónia;Escópia;Europa
108;Madagáscar;Antananarivo;África
109;Malásia;Cuala Lumpur;Ásia
110;Maláui;Lilôngue;África
111;Maldivas;Malé;Ásia
112;Mali;Bamaco;África
113;Malta;Valeta;Europa
114;Marrocos;Rebate;África
115;Maurícia;Porto Luís;África
116;Mauritânia;Nuaquechote;África
117;México;Cidade do México;América
118;Mianmar;Nepiedó;Ásia
119;Micronésia;Paliquir;Oceania
120;Moçambique;Maputo;África
121;Moldávia;Quixinau;Europa
122;Mónaco;Mónaco;Europa
123;Mongólia;Ulã Bator;Ásia
124;Montenegro;Podgoritsa;Europa
125;Namíbia;Vinduque;África
126;Nauru;Iarém;Oceania
127;Nepal;Catmandu;Ásia
128;Nicarágua;Manágua;América
129;Níger;Niamei;África
130;Nigéria;Abuja;África
131;Noruega;Oslo;Europa
132;Nova Zelândia;Wellington;Oceania
133;Omã;Mascate;Ásia
134;Países Baixos;Amesterdão;Europa
135;Palau;Ngerulmud;Oceania
136;Panamá;Cidade do Panamá;América
137;Papua Nova Guiné;Porto Moresby;Oceania
138;Paquistão;Islamabade;Ásia
139;Paraguai;Assunção;América
140;Peru;Lima;América
141;Polónia;Varsóvia;Europa
142;Portugal;Lisboa;Europa
143;Quénia;Nairóbi;África
144;Quirguistão;Bisqueque;Ásia
145;Quiribáti;Taraua do Sul;Oceania
146;Reino Unido;Londres;Europa
147;República Centro-Africana;Bangui;África
148;República Checa;Praga;Europa
149;República Democrática do Congo;Quinxassa;África
150;República Dominicana;São Domingos;América
151;Roménia;Bucareste;Europa
152;Ruanda;Quigali;África
153;Rússia;Moscovo;Europa
154;Salomão;Honiara;Oceania
155;Salvador;São Salvador;América
156;Samoa;Apia;Oceania
157;Santa Lúcia;Castries;América
158;São Cristóvão e Neves;Basseterre;América
159;São Marinho;São Marinho;Europa
160;São Tomé e Príncipe;São Tomé;África
161;São Vicente e Granadinas;Kingstown;América
162;Seicheles;Vitória;África
163;Senegal;Dacar;África
164;Serra Leoa;Freetown;África
165;Sérvia;Belgrado;Europa
166;Singapura;Singapura;Ásia
167;Síria;Damasco;Ásia
168;Somália;Mogadíscio;África
169;Sri Lanca;Sri Jaiavardenapura-Cota;Ásia
170;Suazilândia;Lobamba;África
171;Sudão;Cartum;África
172;Sudão do Sul;Juba;África
173;Suécia;Estocolmo;Europa
174;Suíça;Berna;Europa
175;Suriname;Paramaribo;América
176;Tailândia;Banguecoque;Ásia
177;Taiuã;Taipé;Ásia
178;Tajiquistão;Duchambé;Ásia
179;Tanzânia;Dodoma;África
180;Timor-Leste;Díli;Oceania
181;Togo;Lomé;África
182;Tonga;Nucualofa;Oceania
183;Trindade e Tobago;Porto de Espanha;América
184;Tunísia;Tunes;África
185;Turcomenistão;Asgabate;Ásia
186;Turquia;Ancara;Ásia
187;Tuvalu;Funafuti;Oceania
188;Ucrânia;Quieve;Europa
189;Uganda;Campala;África
190;Uruguai;Montevideu;América
191;Usbequistão;Tasquente;Ásia
192;Vanuatu;Porto Vila;Oceania
193;Vaticano;Vaticano;Europa
194;Venezuela;Caracas;América
195;Vietname;Hanói;Ásia
196;Zâmbia;Lusaca;África
197;Zimbábue;Harare;África
